59,"Various Artists","BRIT Awards 2013",
60,"Taylor Swift",Red,
61,"Fleetwood Mac","Fleetwood Mac: Greatest Hits",
62,"David Guetta","Nothing But the Beat Ultimate",
63,"Various Artists","Clubbers Guide 2013 (Mixed By Danny Howard) - Ministry of Sound",
64,"David Bowie","Best of Bowie",
65,"Laura Mvula","Sing To the Moon",
66,ADELE,21,
67,"Of Monsters and Men","My Head Is an Animal",
68,Rihanna,Unapologetic,
69,"Various Artists","BBC Radio 1's Live Lounge - 2012",
70,"Avicii & Nicky Romero","I Could Be the One (Avicii vs. Nicky Romero)",
71,"The Streets","A Grand Don't Come for Free",
72,"Tim McGraw","Two Lanes of Freedom",
73,"Foo Fighters","Foo Fighters: Greatest Hits",
74,"Various Artists","Now That's What I Call Running!",
75,"Swedish House Mafia","Until Now",
76,"The xx",Coexist,
77,Five,"Five: Greatest Hits",
78,"Jimi Hendrix","People, Hell & Angels",
79,"Biffy Clyro","Opposites (Deluxe)",
80,"The Smiths","The Sound of the Smiths",
81,"The Saturdays","What About Us - EP",
82,"Fleetwood Mac",Rumours,
83,"Various Artists","The Big Reunion",
84,"Various Artists","Anthems 90s - Ministry of Sound",
85,"The Vaccines","Come of Age",
86,"Nicole Scherzinger","Boomerang (Remixes) - EP",
87,"Bob Marley","Legend (Bonus Track Version)",
88,"Josh Groban","All That Echoes",
89,Blue,"Best of Blue",
90,"Ed Sheeran",+,
91,"Olly Murs","In Case You Didn't Know (Deluxe Edition)",
92,"Macklemore & Ryan Lewis","The Heist (Deluxe Edition)",
93,"Various Artists","Defected Presents Most Rated Miami 2013",
94,"Gorgon City","Real EP",
95,"Mumford & Sons","Babel (Deluxe Version)",
96,"Various Artists","The Music of Nashville: Season 1, Vol. 1 (Original Soundtrack)",
97,"Various Artists","The Twilight Saga: Breaking Dawn, Pt. 2 (Original Motion Picture Soundtrack)",
98,"Various Artists","Mum - The Ultimate Mothers Day Collection",
99,"One Direction","Up All Night",
100,"Bon Jovi","Bon Jovi Greatest Hits",
101,"Agnetha Fältskog",A,
102,Fun.,"Some Nights",
103,"Justin Bieber","Believe Acoustic",
104,"Atoms for Peace",Amok,
105,"Justin Timberlake",Justified,
106,Passenger,"All the Little Lights",
107,Kodaline,"The High Hopes EP",
108,"Lana Del Rey","Born to Die",
109,"JAY Z & Kanye West","Watch the Throne (Deluxe Version)",
110,"Biffy Clyro",Opposites,
111,"Various Artists","Return of the 90s",
112,"Gabrielle Aplin","Please Don't Say You Love Me - EP",
113,"Various Artists","100 Hits - Driving Rock",
114,"Jimi Hendrix","Experience Hendrix - The Best of Jimi Hendrix",
115,"Various Artists","The Workout Mix 2013",
116,"The 1975",Sex,
117,"Chase & Status","No More Idols",
118,Rihanna,"Unapologetic (Deluxe Version)",
119,"The Killers","Battle Born",
120,"Olly Murs","Right Place Right Time (Deluxe Edition)",
121,"A$AP Rocky","LONG.LIVE.A$AP (Deluxe Version)",
122,"Various Artists","Cooking Songs",
123,Haim,"Forever - EP",
124,"Lianne La Havas","Is Your Love Big Enough?",
125,"Michael Bublé","To Be Loved",
126,Daughter,"If You Leave",
127,"The xx",xx,
128,Eminem,"Curtain Call",
129,"Kendrick Lamar","good kid, m.A.A.d city (Deluxe)",
130,Disclosure,"The Face - EP",
131,"Palma Violets",180,
132,"Cody Simpson",Paradise,
133,"Ed Sheeran","+ (Deluxe Version)",
134,"Michael Bublé","Crazy Love (Hollywood Edition)",
135,"Bon Jovi","Bon Jovi Greatest Hits - The Ultimate Collection",
136,"Rita Ora",Ora,
137,g33k,Spabby,
138,"Various Artists","Annie Mac Presents 2012",
139,"David Bowie","The Platinum Collection",
140,"Bridgit Mendler","Ready or Not (Remixes) - EP",
141,Dido,"Girl Who Got Away",
142,"Various Artists","Now That's What I Call Disney",
143,"The 1975","Facedown - EP",
144,Kodaline,"The Kodaline - EP",
145,"Various Artists","100 Hits: Super 70s",
146,"Fred V & Grafix","Goggles - EP",
147,"Biffy Clyro","Only Revolutions (Deluxe Version)",
148,Train,"California 37",
149,"Ben Howard","Every Kingdom (Deluxe Edition)",
150,"Various Artists","Motown Anthems",
151,Courteeners,ANNA,
152,"Johnny Marr","The Messenger",
153,Rodriguez,"Searching for Sugar Man",
154,"Jessie Ware",Devotion,
155,"Bruno Mars","Unorthodox Jukebox",
156,"Various Artists","Call the Midwife (Music From the TV Series)",
